mode,query_class,query_filename,query_filepath,top1_class,top1_filename,top1_filepath,top1_similarity,top1_structure_similarity,top1_is_relevant,recall_at_1,recall_at_5,recall_at_10,ap_at_k,ndcg_at_k,first_tier,second_tier,anmrr
full_model,2,DW22-05-04加长管.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\2\DW22-05-04加长管.png,2,DW22-05-04加长管_1.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\2\DW22-05-04加长管_1.png,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_model,2,DW22-05-04加长管_1.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\2\DW22-05-04加长管_1.png,2,DW22-05-04加长管.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\2\DW22-05-04加长管.png,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_model,3,“C”形钳.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\3\“C”形钳.png,3,“C”形钳_1.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\3\“C”形钳_1.png,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_model,3,“C”形钳_1.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\3\“C”形钳_1.png,3,“C”形钳.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\3\“C”形钳.png,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_model,4,1_9.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\4\1_9.png,4,1_9_1.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\4\1_9_1.png,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_model,4,1_9_1.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\4\1_9_1.png,4,1_9.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\4\1_9.png,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
full_model,666,11连杆GB-4.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\666\11连杆GB-4.png,连杆,4连杆GB-4.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\连杆\4连杆GB-4.png,1.0,1.0,0,0.0,1.0,1.0,0.333333,0.5,0.0,0.0,0.5
full_model,666,B9912001-压杆A3.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\666\B9912001-压杆A3.png,柱,B型导柱.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\柱\B型导柱.png,0.934822,0.813698,0,0.0,0.0,1.0,0.166667,0.356207,0.0,0.0,1.0
full_model,人孔,3.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\人孔\3.png,夹具,滑套凯..A4.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\夹具\滑套凯..A4.png,0.947212,0.800296,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
full_model,人孔,B-400-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\人孔\B-400-0.6.png,人孔,B-600-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img2\test_processed\人孔\B-600-0.6.png,0.964592,0.839841,1,1.0,1.0,1.0,0.25,0.39038,0.25,0.25,0.724138
