class,queries,recall_at_1,recall_at_5,recall_at_10,map_at_k,ndcg_at_k,first_tier,second_tier,anmrr
人孔,20,0.9,0.9,0.9,0.8008,0.8362,0.6513,0.7697,0.24
叶轮叶片,20,0.7,0.75,0.75,0.2828,0.4011,0.169,0.1931,0.7964
垫圈,20,1.0,1.0,1.0,1.0,1.0,0.8694,0.8948,0.1028
夹具,20,0.95,1.0,1.0,0.65,0.7293,0.2245,0.2245,0.7449
弹簧,20,1.0,1.0,1.0,0.3177,0.4521,0.1107,0.1262,0.8533
支架,20,0.8,0.9,0.95,0.4736,0.5638,0.263,0.3695,0.6254
机械手机器人部件,20,0.9,0.9,0.9,0.5316,0.5997,0.1041,0.1383,0.8666
板,20,0.9,0.9,0.9,0.8008,0.8173,0.6114,0.6614,0.3261
柱,20,0.6,0.65,0.7,0.2329,0.3426,0.2019,0.3106,0.6784
汽车部件,20,0.95,0.95,0.95,0.3059,0.4371,0.1071,0.1436,0.8624
活塞,20,0.75,0.8,0.8,0.3902,0.4716,0.1109,0.137,0.8378
盘盖,20,1.0,1.0,1.0,0.6651,0.7475,0.2934,0.358,0.6342
管,20,1.0,1.0,1.0,0.208,0.3594,0.1208,0.1623,0.8344
箱体,20,0.7,0.75,0.75,0.3986,0.4698,0.2158,0.25,0.7301
花键,20,0.8,0.85,0.9,0.4402,0.5282,0.2342,0.2908,0.7027
螺钉螺母螺栓铆钉,20,1.0,1.0,1.0,0.9879,0.9929,0.2983,0.2983,0.6323
装配图工序图,20,0.95,1.0,1.0,0.8645,0.9119,0.2403,0.2403,0.7267
轴,20,0.95,1.0,1.0,0.6136,0.7095,0.3868,0.4192,0.5718
连杆,20,0.95,1.0,1.0,0.54,0.6337,0.3062,0.3676,0.6269
销,20,1.0,1.0,1.0,0.9853,0.9918,0.7801,0.7801,0.1968
阀,20,0.55,0.7,0.75,0.2784,0.3743,0.1353,0.1951,0.7989
齿轮带轮凸轮,20,1.0,1.0,1.0,0.6168,0.7022,0.2237,0.2779,0.7119
