mode,query_class,query_filename,query_filepath,top1_class,top1_filename,top1_filepath,top1_similarity,top1_structure_similarity,top1_is_relevant,recall_at_1,recall_at_5,recall_at_10,ap_at_k,ndcg_at_k,first_tier,second_tier,anmrr
baseline,人孔,11.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\11.png,人孔,4.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\4.png,0.99857,0.0,1,1.0,1.0,1.0,1.0,1.0,0.921053,0.947368,0.046915
baseline,人孔,12.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\12.png,人孔,2.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\2.png,0.999082,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,13.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\13.png,人孔,A-400-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\A\A-400-0.6.png,0.999101,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,14.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\14.png,人孔,DN450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN450.png,0.999268,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045732
baseline,人孔,450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21595-99\450.png,人孔,500.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21595-99\500.png,0.999667,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,9.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\9.png,人孔,12.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\12.png,0.998249,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,A-400-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\A\A-400-0.6.png,人孔,A-MFM-400-1.0.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21517-95回转盖带颈平焊法兰人孔\A-MFM-400-1.0.png,0.999931,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,A-MFM-400-1.0.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21517-95回转盖带颈平焊法兰人孔\A-MFM-400-1.0.png,人孔,A-400-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\A\A-400-0.6.png,0.999931,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,B-500-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\B\B-500-0.6.png,人孔,B-450-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\B\B-450-0.6.png,0.999977,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,DN400.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN400.png,人孔,DN500.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN500.png,0.999903,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,DN450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN450.png,人孔,14.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\14.png,0.999268,0.0,1,1.0,1.0,1.0,1.0,1.0,0.921053,0.947368,0.046127
baseline,人孔,DN500.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN500.png,人孔,DN400.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN400.png,0.999903,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,DN500不锈钢垂直吊盖带颈平焊人孔.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21599-99垂直吊盖不锈钢法兰人孔\DN500不锈钢垂直吊盖带颈平焊人孔.png,人孔,RF500-1.0.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21596-99回转盖不锈钢法兰人孔\RF500-1.0.png,0.998652,0.0,1,1.0,1.0,1.0,1.0,1.0,0.894737,0.947368,0.055588
baseline,人孔,DN600.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN600.png,人孔,DN500.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN500.png,0.999549,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
baseline,人孔,HG21517～24.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21517-24\HG21517～24.png,装配图工序图,工艺卡片.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\装配图工序图\工艺卡片.png,0.999471,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,人孔,HG21518-93.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21518-93\HG21518-93.png,人孔,RF450-1.0.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21596-99回转盖不锈钢法兰人孔\RF450-1.0.png,0.998132,0.0,1,1.0,1.0,1.0,1.0,1.0,0.921053,0.947368,0.047112
baseline,人孔,HG21597-1999-1.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\HG21597-1999-1.png,人孔,11.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\11.png,0.998349,0.0,1,1.0,1.0,1.0,1.0,1.0,0.868421,0.947368,0.060122
baseline,人孔,RF500-1.0.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21596-99回转盖不锈钢法兰人孔\RF500-1.0.png,人孔,DN450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN450.png,0.998713,0.0,1,1.0,1.0,1.0,1.0,1.0,0.921053,0.947368,0.047112
baseline,人孔,椭圆压力容器卫生人孔.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\椭圆压力容器卫生人孔\椭圆压力容器卫生人孔.png,人孔,450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21595-99\450.png,0.997487,0.0,1,1.0,1.0,1.0,1.0,1.0,0.947368,0.947368,0.045535
